location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",29.28906226158142,"µg/m³","2025-08-25T09:00:00Z","2025-08-25T15:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",37.55550003051758,"µg/m³","2025-08-25T11:00:00Z","2025-08-25T17:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",38.45983282725016,"µg/m³","2025-08-25T12:00:00Z","2025-08-25T18:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",33.91724967956543,"µg/m³","2025-08-25T13:00:00Z","2025-08-25T19:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",38.50704129536947,"µg/m³","2025-08-25T14:00:00Z","2025-08-25T20:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",39.91816679636637,"µg/m³","2025-08-25T15:00:00Z","2025-08-25T21:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",30.789124965667725,"µg/m³","2025-08-25T16:00:00Z","2025-08-25T22:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",29.399583339691162,"µg/m³","2025-08-25T17:00:00Z","2025-08-25T23:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",27.838624954223633,"µg/m³","2025-08-25T18:00:00Z","2025-08-26T00:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",33.98645814259847,"µg/m³","2025-08-25T19:00:00Z","2025-08-26T01:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",40.61433378855387,"µg/m³","2025-08-25T20:00:00Z","2025-08-26T02:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",43.19929186503092,"µg/m³","2025-08-25T21:00:00Z","2025-08-26T03:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",49.16749986012777,"µg/m³","2025-08-25T22:00:00Z","2025-08-26T04:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",45.85077826182047,"µg/m³","2025-08-25T23:00:00Z","2025-08-26T05:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",48.75266679128011,"µg/m³","2025-08-26T00:00:00Z","2025-08-26T06:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",76.84125073750813,"%","2025-08-25T01:00:00Z","2025-08-25T07:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",76.24279149373372,"%","2025-08-25T02:00:00Z","2025-08-25T08:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",73.11212476094563,"%","2025-08-25T03:00:00Z","2025-08-25T09:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",71.45083363850911,"%","2025-08-25T04:00:00Z","2025-08-25T10:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",71.2694574991862,"%","2025-08-25T05:00:00Z","2025-08-25T11:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",72.0508321126302,"%","2025-08-25T06:00:00Z","2025-08-25T12:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",68.7631664276123,"%","2025-08-25T07:00:00Z","2025-08-25T13:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",63.13537438710531,"%","2025-08-25T08:00:00Z","2025-08-25T14:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",61.46987438201904,"%","2025-08-25T09:00:00Z","2025-08-25T15:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",62.06250076293945,"%","2025-08-25T11:00:00Z","2025-08-25T17:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",66.23933219909668,"%","2025-08-25T12:00:00Z","2025-08-25T18:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",67.70004145304362,"%","2025-08-25T13:00:00Z","2025-08-25T19:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",70.8529167175293,"%","2025-08-25T14:00:00Z","2025-08-25T20:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",71.44170888264973,"%","2025-08-25T15:00:00Z","2025-08-25T21:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",72.39966710408528,"%","2025-08-25T16:00:00Z","2025-08-25T22:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",73.08587392171223,"%","2025-08-25T17:00:00Z","2025-08-25T23:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",73.78087488810222,"%","2025-08-25T18:00:00Z","2025-08-26T00:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","relativehumidity",74.47420819600423,"%","2025-08-25T19:00:00Z","2025-08-26T01:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
